0  99999999 1003 99700
1  99999999 1007 99304
0 1  99999999 1010021 99
2  99999999 10011 9989
0 2  99999999 10041033 9
1 2  99999999 10081077 9
0 1 2  99999999 10111320231 0
3  99999999 10013 9987
0 3  99999999 590767 169
1 3  99999999 530689 188
0 1 3  99999999 31310651 3
2 3  99999999 100240143 0
0 2 3  99999999 5914168437 0
1 2 3  99999999 5312727579 0
0 1 2 3  99999999 313450927161 0
4  99999999 10019 9981
0 4  99999999 10049057 9
1 4  99999999 10089133 9
0 1 4  99999999 10119400399 0
2 4  99999999 100300209 0
0 2 4  99999999 100601109627 0
1 2 4  99999999 101002310463 0
0 1 2 4  99999999 101305317394389 0
3 4  99999999 100320247 0
0 3 4  99999999 5918894573 0
1 3 4  99999999 5316973091 0
0 1 3 4  99999999 313701412369 0
2 3 4  99999999 1004305992717 0
0 2 3 4  99999999 59254053570303 0
1 2 3 4  99999999 53228217614001 0
0 1 2 3 4  99999999 3140464839226059 0
5  99999999 10031 9969
0 5  99999999 10061093 9
1 5  99999999 10101217 9
0 1 5  99999999 10131520651 0
2 5  99999999 100420341 0
0 2 5  99999999 100721602023 0
1 2 5  99999999 101123283387 0
0 1 2 5  99999999 101426653237161 0
3 5  99999999 100440403 0
0 3 5  99999999 5925983777 0
1 3 5  99999999 5323341359 0
0 1 3 5  99999999 314077140181 0
2 3 5  99999999 1005508874433 0
0 2 3 5  99999999 59325023591547 0
1 2 3 5  99999999 53291970344949 0
0 1 2 3 5  99999999 3144226250351991 0
4 5  99999999 100500589 0
0 4 5  99999999 100802090767 0
1 4 5  99999999 101204093123 0
0 1 4 5  99999999 101507705402369 0
2 4 5  99999999 1006111396479 0
0 2 4 5  99999999 1009129730668437 0
1 2 4 5  99999999 1013154176254353 0
0 1 2 4 5  99999999 1016193638783116059 0
3 4 5  99999999 1006312397657 0
0 3 4 5  99999999 59372431461763 0
1 3 4 5  99999999 53334557075821 0
0 1 3 4 5  99999999 3146738867473439 0
2 3 4 5  99999999 10074193412944227 0
0 2 3 4 5  99999999 594377411363709393 0
1 2 3 4 5  99999999 533932250886044031 0
0 1 2 3 4 5  99999999 -5391485345142505403 0
6  99999999 10037 9963
0 6  99999999 10067111 9
1 6  99999999 10107259 9
0 1 6  99999999 10137580777 0
2 6  99999999 100480407 0
0 2 6  99999999 100781848221 0
1 2 6  99999999 101183769849 0
0 1 2 6  99999999 101487321158547 0
3 6  99999999 100500481 0
0 3 6  99999999 5929528379 0
1 3 6  99999999 5326525493 0
0 1 3 6  99999999 314265004087 0
2 3 6  99999999 1006110315291 0
0 2 3 6  99999999 59360508602169 0
1 2 3 6  99999999 53323846710423 0
0 1 2 3 6  99999999 3146106955914957 0
4 6  99999999 100560703 0
0 4 6  99999999 100862385109 0
1 4 6  99999999 101264627921 0
0 1 4 6  99999999 101568421804763 0
2 4 6  99999999 1006713197733 0
0 2 4 6  99999999 1009733337326199 0
1 2 4 6  99999999 1013760190117131 0
0 1 2 4 6  99999999 1016801470687482393 0
3 4 6  99999999 1006914319139 0
0 3 4 6  99999999 59407944829201 0
1 3 4 6  99999999 53366458914367 0
0 1 3 4 6  99999999 3148621075947653 0
2 3 4 6  99999999 10080219248900529 0
0 2 3 4 6  99999999 594732935685131211 0
1 2 3 4 6  99999999 534251620191728037 0
0 1 2 3 4 6  99999999 -5372642556107149049 0
5 6  99999999 100681147 0
0 5 6  99999999 100983190441 0
1 5 6  99999999 101385915029 0
0 1 5 6  99999999 101690072774087 0
2 5 6  99999999 1007918962617 0
0 2 5 6  99999999 1010942719504851 0
1 2 5 6  99999999 1014974395355319 0
0 1 2 5 6  99999999 1018019318541384957 0
3 5 6  99999999 1008120324911 0
0 3 5 6  99999999 59479099169749 0
1 3 5 6  99999999 53430377220283 0
0 1 3 5 6  99999999 3152392255996697 0
2 3 5 6  99999999 10092292572684021 0
0 2 3 5 6  99999999 595445261788357239 0
1 2 3 5 6  99999999 534891506352253113 0
0 1 2 3 5 6  99999999 -5334889272636169565 0
4 5 6  99999999 1008724411793 0
0 4 5 6  99999999 1011750585028379 0
1 4 5 6  99999999 1015785482675551 0
0 1 4 5 6  99999999 1018832839123577653 0
2 4 5 6  99999999 10098340086459723 0
0 2 4 5 6  99999999 -8318108966990449447 0
1 2 4 5 6  99999999 -8277715606644610555 0
0 1 2 4 5 6  99999999 -1513920295246159465 0
3 4 5 6  99999999 10100357535283309 0
0 3 4 5 6  99999999 595921094581715231 0
1 3 4 5 6  99999999 535318949370015377 0
0 1 3 4 5 6  99999999 -5309670134588195989 0
2 3 4 5 6  99999999 8880958917173448319 0
0 2 3 4 5 6  99999999 7467742049366005573 0
1 2 3 4 5 6  99999999 -8924523306255581109 0
0 1 2 3 4 5 6  99999999 -8408703068497711433 0
7  99999999 10043 9957
0 7  99999999 10073129 9
1 7  99999999 10113301 9
0 1 7  99999999 10143640903 0
2 7  99999999 100540473 0
0 2 7  99999999 100842094419 0
1 2 7  99999999 101244256311 0
0 1 2 7  99999999 101547989079933 0
3 7  99999999 100560559 0
0 3 7  99999999 5933072981 0
1 3 7  99999999 5329709627 0
0 1 3 7  99999999 314452867993 0
2 3 7  99999999 1006711756149 0
0 2 3 7  99999999 59395993612791 0
1 2 3 7  99999999 53355723075897 0
0 1 2 3 7  99999999 3147987661477923 0
4 7  99999999 100620817 0
0 4 7  99999999 100922679451 0
1 4 7  99999999 101325162719 0
0 1 4 7  99999999 101629138207157 0
2 4 7  99999999 1007314998987 0
0 2 4 7  99999999 1010336943983961 0
1 2 4 7  99999999 1014366203979909 0
0 1 2 4 7  99999999 1017409302591848727 0
3 4 7  99999999 1007516240621 0
0 3 4 7  99999999 59443458196639 0
1 3 4 7  99999999 53398360752913 0
0 1 3 4 7  99999999 3150503284421867 0
2 3 4 7  99999999 10086245084856831 0
0 2 3 4 7  99999999 595088460006553029 0
1 2 3 4 7  99999999 534570989497412043 0
0 1 2 3 4 7  99999999 -5353799767071792695 0
5 7  99999999 100741333 0
0 5 7  99999999 101043556999 0
1 5 7  99999999 101446522331 0
0 1 5 7  99999999 101750861897993 0
2 5 7  99999999 1008521484663 0
0 2 5 7  99999999 1011547049116989 0
1 2 5 7  99999999 1015581135055641 0
0 1 2 5 7  99999999 1018627878460807923 0
3 5 7  99999999 1008722967329 0
0 3 5 7  99999999 59514655072411 0
1 3 5 7  99999999 53462317268437 0
0 1 3 5 7  99999999 3154276718837783 0
2 3 5 7  99999999 10098325625930619 0
0 2 3 5 7  99999999 595801211929906521 0
1 2 3 5 7  99999999 535211258174322807 0
0 1 2 3 5 7  99999999 -5316023915134057619 0
4 5 7  99999999 1009327415327 0
0 4 5 7  99999999 1012355397572981 0
1 4 5 7  99999999 1016392707234289 0
0 1 4 5 7  99999999 1019441885355991867 0
2 4 5 7  99999999 10104376754838597 0
0 2 4 5 7  99999999 -8312054188606438825 0
1 2 4 5 7  99999999 -8271636681587084437 0
0 1 2 4 5 7  99999999 4583241537452536889 0
3 4 5 7  99999999 10106395409669251 0
0 3 4 5 7  99999999 596277329170485809 0
1 3 4 5 7  99999999 535638956712470303 0
0 1 3 4 5 7  99999999 -5290789701383355355 0
2 3 4 5 7  99999999 8941404077651113681 0
0 2 3 4 5 7  99999999 -7412737556161289685 0
1 2 3 4 5 7  99999999 -5720929800939316923 0
0 1 2 3 4 5 7  99999999 5493464928647769369 0
6 7  99999999 100801591 0
0 6 7  99999999 101103995773 0
1 6 7  99999999 101507202137 0
0 1 6 7  99999999 101811723743411 0
2 6 7  99999999 1009124727501 0
0 2 6 7  99999999 1012152101683503 0
1 2 6 7  99999999 1016188600593507 0
0 1 2 6 7  99999999 1019237166395287521 0
3 6 7  99999999 1009326330683 0
0 3 6 7  99999999 59550253510297 0
1 3 6 7  99999999 53494295526199 0
0 1 3 6 7  99999999 3156163436045741 0
2 3 6 7  99999999 10104365896467513 0
0 2 3 6 7  99999999 596157587891583267 0
1 2 3 6 7  99999999 535531392512778189 0
0 1 2 3 6 7  99999999 -5297135989165190081 0
4 6 7  99999999 1009931140229 0
0 4 6 7  99999999 1012960933649687 0
1 4 6 7  99999999 1017000658210603 0
0 1 4 6 7  99999999 1020051660185234809 0
2 4 6 7  99999999 10110420644832519 0
0 2 4 6 7  99999999 -8305992166942535059 0
1 2 4 6 7  99999999 -8265550484363204983 0
0 1 2 4 6 7  99999999 -7759046720705922365 0
3 4 6 7  99999999 10112440507112977 0
0 3 4 6 7  99999999 596633989919665643 0
1 3 4 6 7  99999999 535959346876987781 0
0 1 3 4 6 7  99999999 -5271886681676824153 0
2 3 4 6 7  99999999 9001921548160254667 0
0 2 3 4 6 7  99999999 -3842206796121971511 0
1 2 3 4 6 7  99999999 -2513503863954844665 0
0 1 2 3 4 6 7  99999999 722775383659422307 0
5 6 7  99999999 1011140759321 0
0 5 6 7  99999999 1014174181598963 0
1 5 6 7  99999999 1018218744636247 0
0 1 5 6 7  99999999 1021273400870155741 0
2 5 6 7  99999999 10122530141562531 0
0 2 5 6 7  99999999 -8293846341722333023 0
1 2 5 6 7  99999999 -8253356221156082899 0
0 1 2 5 6 7  99999999 4471799276037527887 0
3 5 6 7  99999999 10124552423081173 0
0 3 5 6 7  99999999 597348592961789207 0
1 3 5 6 7  99999999 536601278423302169 0
0 1 3 5 6 7  99999999 -5234012720444275261 0
2 3 5 6 7  99999999 9123173938917864823 0
0 2 3 5 6 7  99999999 3311684258577027693 0
1 2 3 5 6 7  99999999 3912872846198493603 0
0 1 2 3 5 6 7  99999999 -813470457501186221 0
4 5 6 7  99999999 10130619267637099 0
0 4 5 6 7  99999999 -8285732948269541319 0
1 4 5 6 7  99999999 -8245210471198992923 0
0 1 4 5 6 7  99999999 -5804757590710777801 0
2 4 5 6 7  99999999 9183909119767240009 0
0 2 4 5 6 7  99999999 6535554345475472643 0
1 2 4 5 6 7  99999999 -579791152465939040 0
0 1 2 4 5 6 7  99999999 -4184408420508975411 0
3 4 5 6 7  99999999 9204170358302514207 0
0 3 4 5 6 7  99999999 8090473002271341349 0
1 3 4 5 6 7  99999999 8205683073584910955 0
0 1 3 4 5 6 7  99999999 -4519955425061404329 0
2 3 4 5 6 7  99999999 1462808787259404357 0
0 2 3 4 5 6 7  99999999 -5928001920242901017 0
1 2 3 4 5 6 7  99999999 -3741889429910224457 0
0 1 2 3 4 5 6 7  99999999 -589452519811376429 0
8  99999999 10047 9953
0 8  99999999 592773 168
1 8  99999999 10117329 9
0 1 8  99999999 596922411 0
2 8  99999999 33526839 2
0 2 8  99999999 1978083501 0
1 2 8  99999999 33761526873 0
0 1 2 8  99999999 1991930085507 0
3 8  99999999 5917683 16
0 3 8  99999999 349143297 0
1 3 8  99999999 313637199 0
0 1 3 8  99999999 18504594741 0
2 3 8  99999999 19747308171 0
0 2 3 8  99999999 1165091182089 0
1 2 3 8  99999999 1046607333063 0
0 1 2 3 8  99999999 61749832650717 0
4 8  99999999 100660893 0
0 4 8  99999999 5938992687 0
1 4 8  99999999 101365519251 0
0 1 4 8  99999999 5980565635809 0
2 4 8  99999999 335905399941 0
0 2 4 8  99999999 19818418596519 0
1 2 4 8  99999999 338256737740587 0
0 1 2 4 8  99999999 19957147526694633 0
3 4 8  99999999 59289265977 0
0 3 4 8  99999999 3498066692643 0
1 3 4 8  99999999 3142331096781 0
0 1 3 4 8  99999999 185397534710079 0
2 3 4 8  99999999 197848280565249 0
0 2 3 4 8  99999999 11673048553349691 0
1 2 3 4 8  99999999 10485958869958197 0
0 1 2 3 4 8  99999999 -104730155053233107 0
5 8  99999999 100781457 0
0 5 8  99999999 5946105963 0
1 5 8  99999999 101486927199 0
0 1 5 8  99999999 5987728704741 0
2 5 8  99999999 336307722009 0
0 2 5 8  99999999 19842155598531 0
1 2 5 8  99999999 338661876063063 0
0 1 2 5 8  99999999 19981050687720717 0
3 5 8  99999999 59360278173 0
0 3 5 8  99999999 3502256412207 0
1 3 5 8  99999999 3146094743169 0
0 1 3 5 8  99999999 185619589846971 0
2 3 5 8  99999999 198085248263301 0
0 2 3 5 8  99999999 11687029647534759 0
1 2 3 5 8  99999999 10498518157954953 0
0 1 2 3 5 8  99999999 -103989157061424503 0
4 5 8  99999999 1009729417683 0
0 4 5 8  99999999 59574035643297 0
1 4 5 8  99999999 1016797523606781 0
0 1 4 5 8  99999999 59991053892800079 0
2 4 5 8  99999999 3369467066808171 0
0 2 4 5 8  99999999 -162902307248701276 0
1 2 4 5 8  99999999 -2755861354960689008 0
0 1 2 4 5 8  99999999 169568942991862767 0
3 4 5 8  99999999 594730627015287 0
0 3 4 5 8  99999999 35089106993901933 0
1 3 4 5 8  99999999 31520723231810211 0
